"Date","Rides","Mean_temp","Precip"
2016-09-26,19562,11.3,1.2
2016-09-27,21019,16.4,2.4
2016-09-28,20892,15.6,0
2016-09-29,20831,13.2,0
2016-09-30,20535,13.4,0
2016-10-01,15507,14.9,0
2016-10-02,10092,14.6,1.6
2016-10-03,19313,14,0
2016-10-04,20357,12.2,0
2016-10-05,21073,14.1,0
2016-10-06,21864,16.1,0
2016-10-07,21539,17.5,0
2016-10-08,5837,14.1,17.6
2016-10-09,10961,9.3,0
2016-10-10,9640,7.2,0
2016-10-11,18036,9.9,0
2016-10-12,19418,14.5,0
2016-10-13,13715,9.1,7.4
2016-10-14,17260,5.7,0
2016-10-15,13310,10.3,0
2016-10-16,5941,14.8,13
2016-10-17,16134,11.9,0
2016-10-18,14415,16.4,5.8
2016-10-19,18708,13.1,0
2016-10-20,10542,10,26.4
2016-10-21,5372,9.1,32.8
2016-10-22,3055,5.4,29.4
2016-10-23,6377,6.7,2.6
2016-10-24,12020,5,0
2016-10-25,12421,3.2,0
2016-10-26,12211,1.3,0
2016-10-27,9670,2.6,16.4
2016-10-28,8809,4.7,3
2016-10-29,4448,5.5,7
2016-10-30,8429,5.3,0
2016-10-31,11233,3.1,0
2016-11-01,11844,5.5,0.4
2016-11-02,14442,10.9,0
2016-11-03,8427,8.2,10
2016-11-04,11142,3.1,0.4
2016-11-05,7375,5.4,1.2
2016-11-06,7062,3.8,0.4
2016-11-07,11426,3.9,0
2016-11-08,13340,8.4,0
2016-11-09,11536,4.6,0.2
2016-11-10,11130,5.2,0
2016-11-11,9517,5.3,1.8
2016-11-12,6198,2.1,0
2016-11-13,6912,8.7,0
2016-11-14,10818,8.9,0
2016-11-15,10776,7.1,0.4
2017-04-15,11318,11,3.8
2017-04-16,3957,11.8,14.8
2017-04-17,8036,6.1,1.6
2017-04-18,13261,5.1,0
2017-04-19,6612,7.5,18.2
2017-04-20,12521,7.6,0
2017-04-21,8109,9.6,8.4
2017-04-22,9920,6.9,0.2
2017-04-23,15736,9.4,0
2017-04-24,13397,5,0
2017-04-25,10495,8.5,6.6
2017-04-26,13490,12.5,1.2
2017-04-27,21352,17.8,0
2017-04-28,21102,15.1,0.6
2017-04-29,19074,11.9,0
2017-04-30,7947,4.4,9
2017-05-01,3870,7.6,37.2
2017-05-02,17074,12,0
2017-05-03,17260,8,0.2
2017-05-04,20847,9.2,0.2
2017-05-05,5865,8.4,22
2017-05-06,14121,14.4,9.4
2017-05-07,9512,6.9,6.6
2017-05-08,13468,3.5,0
2017-05-09,15662,4.7,0
2017-05-10,18388,7.6,0
2017-05-11,19113,9.6,0
2017-05-12,23590,12.9,0
2017-05-13,17239,14,2
2017-05-14,8286,11,4.6
2017-05-15,20633,16.1,0
2017-05-16,26640,15.4,0
2017-05-17,28613,21.7,0
2017-05-18,26561,24.6,0.6
2017-05-19,24910,13.8,0
2017-05-20,23677,11.9,0
2017-05-21,20375,14.1,2.8
2017-05-22,7961,12.1,7.2
2017-05-23,25479,15.5,0
2017-05-24,27272,17.4,0
2017-05-25,17311,16.5,11
2017-05-26,15917,12.8,1.6
2017-05-27,26959,16.9,0
2017-05-28,38035,18.9,0
2017-05-29,12704,16.2,8
2017-05-30,17994,15.6,9
2017-05-31,24516,18,1.6
2017-06-01,26081,14.3,0
2017-06-02,20545,11.6,5.2
2017-06-03,19575,13.8,0
2017-06-04,23584,15.8,0
2017-06-05,9135,14,42.4
2017-06-06,16328,12.6,11
2017-06-07,30420,16.1,0
2017-06-08,31771,20.8,0
2017-06-09,30066,18.7,0
2017-06-10,29799,17.2,0
2017-06-11,25167,24.8,0
2017-06-12,26979,25.7,2.2
2017-06-13,30738,21.5,0
2017-06-14,30752,16.7,0
2017-06-15,31715,17.2,0.2
2017-06-16,18427,16.9,25.4
2017-06-17,27908,22.1,0
2017-06-18,24295,26.7,0.8
2017-06-19,26105,22.7,1
2017-06-20,23399,20.7,16.8
2017-06-21,27655,19,0.8
2017-06-22,30607,19.8,0
2017-06-23,16023,21.2,13.6
2017-06-24,25095,21.7,0
2017-06-25,26378,18.8,0.2
2017-06-26,27014,17.7,2.6
2017-06-27,24950,17.6,1.8
2017-06-28,27603,17.8,0.4
2017-06-29,20312,17.7,4.2
2017-06-30,19652,19.3,6.6
2017-07-01,16162,21.4,6.4
2017-07-02,24381,21,0.6
2017-07-03,30646,20.4,0
2017-07-04,33616,19.8,0
2017-07-05,34440,20.6,0
2017-07-06,32937,22.9,0
2017-07-07,27717,23.4,10.2
2017-07-08,23930,20,20
2017-07-09,25905,20,0.6
2017-07-10,26253,21.2,2.2
2017-07-11,30381,23.1,0
2017-07-12,28433,17.7,0.6
2017-07-13,28728,19.1,0.6
2017-07-14,21433,17.2,9.2
2017-07-15,26761,22,0.2
2017-07-16,24995,23.1,3.2
2017-07-17,26256,22.4,1.8
2017-07-18,32812,22.6,0
2017-07-19,29622,23.7,8
2017-07-20,30627,23.4,8.8
2017-07-21,28943,23,0
2017-07-22,30340,21.1,0
2017-07-23,27559,20.1,0
2017-07-24,10606,17,17.8
2017-07-25,28190,18.5,1.6
2017-07-26,30640,19.1,0
2017-07-27,29073,21.3,0.6
2017-07-28,32579,18.7,0
